cols,importance,model_name,model_target
order_weekday,0.3067893636229922,tree,y_weekday
order_weekend,0.29064643253640565,tree,y_weekday
delta_avg,0.04819569097550992,tree,y_weekday
order_time_19,0.031956436695256524,tree,y_weekday
order_time_21,0.030357165039133143,tree,y_weekday
order,0.029325553274193037,tree,y_weekday
order_delivery,0.027182247843689684,tree,y_weekday
order_time_15,0.026342728496485678,tree,y_weekday
order_time_20,0.02613362802069823,tree,y_weekday
order_time_12,0.0261311596592856,tree,y_weekday
order_time_18,0.024076566883132852,tree,y_weekday
order_time_14,0.020992662276880722,tree,y_weekday
order_takeout,0.018944353959224027,tree,y_weekday
order_cancel,0.01818473179834725,tree,y_weekday
order_fin,0.01462508435045465,tree,y_weekday
order_time_17,0.013145946552098093,tree,y_weekday
order_time_13,0.013036842541029953,tree,y_weekday
order_time_11,0.009565176676999363,tree,y_weekday
order_time_16,0.008864313916708257,tree,y_weekday
store_取手店,0.0022091756381803908,tree,y_weekday
store_荒川店,0.0021234629413298357,tree,y_weekday
store_大和店,0.0021151681642152653,tree,y_weekday
store_さいたま南店,0.0020826271155350295,tree,y_weekday
store_足利店,0.0018049435001303595,tree,y_weekday
store_大森店,0.0015041195834419666,tree,y_weekday
store_国立店,0.001095858553650576,tree,y_weekday
store_神田店,0.001025536079619524,tree,y_weekday
store_逗子店,0.000709490369548095,tree,y_weekday
store_佐野店,0.0004199000503775525,tree,y_weekday
store_伊勢崎店,0.0004136328854465414,tree,y_weekday
store_福生店,0.0,tree,y_weekday
store_狛江店,0.0,tree,y_weekday
store_港北店,0.0,tree,y_weekday
store_港南店,0.0,tree,y_weekday
store_瀬谷店,0.0,tree,y_weekday
store_熊谷店,0.0,tree,y_weekday
store_秦野店,0.0,tree,y_weekday
store_王子店,0.0,tree,y_weekday
store_狭山店,0.0,tree,y_weekday
store_町田店,0.0,tree,y_weekday
store_白井店,0.0,tree,y_weekday
store_目黒店,0.0,tree,y_weekday
store_相模原店,0.0,tree,y_weekday
store_石神井店,0.0,tree,y_weekday
store_磯子店,0.0,tree,y_weekday
store_神奈川店,0.0,tree,y_weekday
store_清瀬店,0.0,tree,y_weekday
store_渋谷店,0.0,tree,y_weekday
store_池尻店,0.0,tree,y_weekday
store_海老名店,0.0,tree,y_weekday
store_浦安店,0.0,tree,y_weekday
store_東松山店,0.0,tree,y_weekday
store_松戸店,0.0,tree,y_weekday
store_板橋店,0.0,tree,y_weekday
store_柏店,0.0,tree,y_weekday
store_栃木店,0.0,tree,y_weekday
store_栄店,0.0,tree,y_weekday
store_桐生店,0.0,tree,y_weekday
store_横浜南店,0.0,tree,y_weekday
store_横浜緑店,0.0,tree,y_weekday
store_横須賀店,0.0,tree,y_weekday
store_武蔵村山店,0.0,tree,y_weekday
store_武蔵野店,0.0,tree,y_weekday
store_水戸店,0.0,tree,y_weekday
store_江戸川店,0.0,tree,y_weekday
store_江東店,0.0,tree,y_weekday
store_立川店,0.0,tree,y_weekday
store_池袋店,0.0,tree,y_weekday
store_泉店,0.0,tree,y_weekday
store_流山店,0.0,tree,y_weekday
store_浅草店,0.0,tree,y_weekday
store_浦和店,0.0,tree,y_weekday
store_稲城店,0.0,tree,y_weekday
store_草加店,0.0,tree,y_weekday
store_綾瀬店,0.0,tree,y_weekday
store_越谷店,0.0,tree,y_weekday
store_足立店,0.0,tree,y_weekday
store_那珂店,0.0,tree,y_weekday
store_都筑店,0.0,tree,y_weekday
store_金沢店,0.0,tree,y_weekday
store_銀座店,0.0,tree,y_weekday
store_鎌倉店,0.0,tree,y_weekday
store_青山店,0.0,tree,y_weekday
store_青梅店,0.0,tree,y_weekday
store_青葉店,0.0,tree,y_weekday
store_館林店,0.0,tree,y_weekday
store_駒沢店,0.0,tree,y_weekday
store_駒込店,0.0,tree,y_weekday
store_高円寺店,0.0,tree,y_weekday
store_高島平店,0.0,tree,y_weekday
store_高崎店,0.0,tree,y_weekday
store_高座店,0.0,tree,y_weekday
store_高津店,0.0,tree,y_weekday
store_高田馬場店,0.0,tree,y_weekday
store_鴻巣店,0.0,tree,y_weekday
store_足柄上店,0.0,tree,y_weekday
store_赤羽店,0.0,tree,y_weekday
store_練馬店,0.0,tree,y_weekday
store_赤坂店,0.0,tree,y_weekday
store_羽村店,0.0,tree,y_weekday
store_羽生店,0.0,tree,y_weekday
store_習志野店,0.0,tree,y_weekday
store_自由が丘店,0.0,tree,y_weekday
store_船橋店,0.0,tree,y_weekday
store_若葉店,0.0,tree,y_weekday
store_茂原店,0.0,tree,y_weekday
store_茅ヶ崎店,0.0,tree,y_weekday
