DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1168,0,0,1016,tree,y_weekday
test,0.782051282051282,0.7861635220125787,0.7911392405063291,0.78125,375,99,105,357,tree,y_weekday
train,1.0,1.0,1.0,1.0,1168,0,0,1016,RandomForest,y_weekday
test,0.7617521367521367,0.7689119170984455,0.7827004219409283,0.7556008146639511,371,103,120,342,RandomForest,y_weekday
train,0.8228021978021978,0.8312254688181421,0.8159246575342466,0.8471111111111111,953,215,172,844,GradientBoosting,y_weekday
test,0.7735042735042735,0.7739872068230277,0.7658227848101266,0.7823275862068966,363,111,101,361,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,1124,0,0,1060,tree,y_weekend
test,0.7831196581196581,0.7976071784646063,0.8,0.7952286282306164,400,100,103,333,tree,y_weekend
train,1.0,1.0,1.0,1.0,1124,0,0,1060,RandomForest,y_weekend
test,0.8397435897435898,0.8496993987975953,0.848,0.8514056224899599,424,76,74,362,RandomForest,y_weekend
train,0.8598901098901099,0.8612873980054396,0.8451957295373665,0.878003696857671,950,174,132,928,GradientBoosting,y_weekend
test,0.8472222222222222,0.8551165146909827,0.844,0.86652977412731,422,78,65,371,GradientBoosting,y_weekend
